date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,3.73,3.75,3.75,3.7,158358.89,0.01,0.27,3.704,3.715,3.855,192317.51,154999.44,158873.73,1.09
2021-01-04,3.69,3.76,3.74,3.67,291607.59,0.06,1.63,3.686,3.728,3.879,179510.93,149566.45,166930.64,2.01
2020-12-31,3.7,3.71,3.68,3.65,260726.2,0.0,0.0,3.678,3.739,3.911,148917.24,138663.77,171322.11,1.8
2020-12-30,3.67,3.73,3.68,3.65,156547.88,0.01,0.27,3.678,3.76,3.944,121521.37,138876.3,195631.46,1.08
2020-12-29,3.67,3.74,3.67,3.64,94347.0,0.01,0.27,3.698,3.784,3.986,114460.1,140448.25,211282.37,0.65
2020-12-28,3.69,3.72,3.66,3.65,94326.0,-0.04,-1.08,3.726,3.817,4.008,117681.36,144268.66,211208.39,0.65
2020-12-25,3.68,3.77,3.7,3.68,138639.12,0.02,0.54,3.77,3.854,4.03,119621.96,144300.76,210581.27,0.95
2020-12-24,3.78,3.78,3.68,3.68,123746.86,-0.1,-2.65,3.8,3.883,4.048,128410.3,146959.57,208895.99,0.85
2020-12-23,3.81,3.82,3.78,3.76,121241.52,-0.03,-0.79,3.842,3.92,4.07,156231.24,152048.05,206424.19,0.83
2020-12-22,3.86,3.87,3.81,3.8,110453.3,-0.07,-1.8,3.87,3.951,4.086,166436.4,158521.81,204665.46,0.76
2020-12-21,3.87,3.89,3.88,3.82,104029.0,0.03,0.78,3.908,3.995,4.103,170855.97,162748.01,203408.75,0.72
2020-12-18,3.87,3.92,3.85,3.83,182580.8,-0.04,-1.03,3.938,4.03,4.119,168979.57,184294.84,203531.48,1.26
2020-12-17,3.92,3.93,3.89,3.8,262851.56,-0.03,-0.77,3.966,4.083,4.138,165508.84,203980.45,198498.73,1.81
2020-12-16,4.0,4.03,3.92,3.9,172267.33,-0.08,-2.0,3.998,4.128,4.153,147864.87,252386.62,189831.69,1.19
2020-12-15,4.03,4.07,4.0,3.97,132551.14,-0.03,-0.74,4.032,4.188,4.167,150607.23,282116.49,185665.55,0.91
2020-12-14,3.98,4.04,4.03,3.93,94647.0,0.04,1.0,4.082,4.199,4.178,154640.06,278148.12,184387.66,0.65
2020-12-11,4.06,4.14,3.99,3.96,165227.19,-0.06,-1.48,4.122,4.205,4.188,199610.11,276861.77,184035.11,1.14
2020-12-10,4.04,4.11,4.05,4.01,174631.69,-0.04,-0.98,4.2,4.213,4.197,242452.06,270832.4,180561.12,1.2
2020-12-09,4.24,4.24,4.09,4.09,185979.12,-0.16,-3.77,4.258,4.22,4.2,356908.37,260800.32,177926.02,1.28
2020-12-08,4.22,4.25,4.25,4.16,152715.31,0.02,0.47,4.344,4.22,4.199,413625.74,250809.12,174751.42,1.05
2020-12-07,4.36,4.39,4.23,4.21,319497.25,-0.15,-3.42,4.316,4.21,4.194,401656.18,244069.49,172251.07,2.2
2020-12-04,4.37,4.45,4.38,4.28,379436.94,0.04,0.92,4.288,4.208,4.194,354113.43,222768.11,164023.46,2.61
2020-12-03,4.68,4.69,4.34,4.33,746913.25,-0.18,-3.98,4.226,4.192,4.182,299212.74,193017.0,150671.86,5.14
2020-12-02,4.12,4.52,4.52,4.11,469565.97,0.41,9.98,4.182,4.178,4.171,164692.26,127276.76,119592.0,3.23
2020-12-01,4.09,4.13,4.11,4.07,92867.49,0.02,0.49,4.096,4.145,4.149,87992.49,89214.61,102390.94,0.64
2020-11-30,4.07,4.14,4.09,4.06,81783.51,0.02,0.49,4.104,4.157,4.146,86482.8,90627.2,102799.48,0.56
2020-11-27,4.12,4.14,4.07,4.04,104933.5,-0.05,-1.21,4.128,4.17,4.144,91422.8,91208.45,105179.15,0.72
2020-11-26,4.1,4.16,4.12,4.08,74310.83,0.03,0.73,4.158,4.18,4.137,86821.26,90289.83,104539.26,0.51
2020-11-25,4.17,4.19,4.09,4.08,86067.11,-0.06,-1.45,4.174,4.18,4.128,89861.25,95051.72,107419.81,0.59
2020-11-24,4.19,4.22,4.15,4.14,85319.03,-0.06,-1.43,4.194,4.178,4.119,90436.73,98693.71,106840.49,0.59
2020-11-23,4.2,4.23,4.21,4.16,106483.51,-0.01,-0.24,4.21,4.177,4.106,94771.61,100432.65,108196.26,0.73
2020-11-20,4.18,4.22,4.22,4.15,81925.84,0.02,0.48,4.212,4.179,4.095,90994.1,105278.8,104688.49,0.56
2020-11-19,4.18,4.2,4.2,4.12,89510.77,0.01,0.24,4.202,4.171,4.083,93758.4,108326.72,101928.82,0.62
2020-11-18,4.21,4.25,4.19,4.17,88944.48,-0.04,-0.95,4.186,4.163,4.074,100242.19,111907.25,99900.99,0.61
2020-11-17,4.22,4.25,4.23,4.16,106993.45,0.01,0.24,4.162,4.153,4.063,106950.7,115567.28,98238.55,0.74
2020-11-16,4.18,4.24,4.22,4.18,87595.97,0.05,1.2,4.144,4.135,4.054,106093.69,114971.75,95558.31,0.6
2020-11-13,4.1,4.21,4.17,4.09,95747.33,0.05,1.21,4.146,4.117,4.045,119563.5,119149.84,95236.14,0.66
2020-11-12,4.07,4.19,4.12,4.07,121929.73,0.05,1.23,4.14,4.093,4.043,122895.03,118788.68,93717.59,0.84
2020-11-11,4.14,4.18,4.07,4.06,122487.03,-0.07,-1.69,4.14,4.076,4.042,123572.31,119787.9,90259.75,0.84
2020-11-10,4.25,4.26,4.14,4.11,102708.38,-0.09,-2.13,4.144,4.06,4.042,124183.85,114987.26,87328.18,0.71
2020-11-09,4.15,4.23,4.23,4.15,154945.02,0.09,2.17,4.126,4.035,4.04,123849.82,115959.87,85811.03,1.07
2020-11-06,4.12,4.17,4.14,4.09,112405.0,0.02,0.48,4.088,4.01,4.031,118736.18,104098.17,84985.16,0.77
2020-11-05,4.09,4.13,4.12,4.06,125316.12,0.03,0.73,4.046,3.995,4.02,114682.33,95530.93,84271.93,0.86
2020-11-04,4.04,4.11,4.09,4.03,125544.72,0.04,0.99,4.012,3.985,4.008,116003.5,87894.72,79650.13,0.86
2020-11-03,4.08,4.08,4.05,3.98,101038.24,0.01,0.25,3.976,3.973,3.999,105790.67,80909.82,75886.14,0.7
2020-11-02,3.93,4.05,4.04,3.86,129376.84,0.11,2.8,3.944,3.973,3.992,108069.92,76144.86,73512.51,0.89
2020-10-30,3.98,4.02,3.93,3.9,92135.72,-0.02,-0.51,3.932,3.973,3.988,89460.16,71322.43,68814.08,0.63
2020-10-29,3.88,4.01,3.95,3.87,131921.97,0.04,1.02,3.944,3.993,3.989,76379.52,68646.51,67638.71,0.91
2020-10-28,3.89,3.94,3.91,3.85,74480.58,0.02,0.51,3.958,4.008,3.995,59785.95,60731.6,62746.12,0.51
2020-10-27,3.97,3.97,3.89,3.86,112434.48,-0.09,-2.26,3.97,4.024,4.001,56028.97,59669.1,61440.07,0.77
