date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-01-05,87.7,89.43,87.4,83.0,68230.91,-0.8,-0.91,83.958,80.369,75.185,66091.98,74045.13,70008.55
2021-01-04,84.74,92.5,88.2,83.2,66828.25,2.38,2.77,82.498,78.919,74.38,68701.98,73599.76,71755.94
2020-12-31,82.0,88.0,85.82,80.09,64180.84,4.91,6.07,79.878,77.297,73.323,71691.85,74552.68,73273.54
2020-12-30,78.13,83.49,80.91,76.21,68877.74,3.45,4.45,77.334,76.084,72.237,73506.11,75563.5,75190.11
2020-12-29,81.38,83.8,77.46,76.55,62342.15,-2.64,-3.3,77.172,75.048,71.642,75597.83,76366.28,76340.33
2020-12-28,74.82,83.2,80.1,74.32,81280.91,5.0,6.66,76.78,74.154,71.409,81998.27,76017.42,77458.46
2020-12-25,72.01,75.5,75.1,67.61,81777.6,2.0,2.74,75.34,73.139,70.971,78497.54,73731.89,79550.78
2020-12-24,78.6,79.98,73.1,73.0,73252.16,-7.0,-8.74,74.716,72.414,70.766,77413.5,72226.5,79788.46
2020-12-23,76.01,80.19,80.1,75.0,79336.31,4.6,6.09,74.834,71.636,70.937,77620.89,70745.1,81622.22
2020-12-22,73.45,81.2,75.5,72.72,94344.39,2.6,3.57,72.924,70.501,70.962,77134.73,67844.75,82919.99
2020-12-21,71.0,74.66,72.9,69.4,63777.25,0.92,1.28,71.528,70.001,71.415,70036.57,65971.97,83626.84
2020-12-18,73.7,75.5,71.98,71.86,76357.4,-1.71,-2.32,70.938,69.841,71.94,68966.23,69912.12,87234.33
2020-12-17,69.0,73.69,73.69,68.4,74289.1,3.14,4.45,70.112,69.349,72.674,67039.5,71994.41,92105.19
2020-12-16,67.01,70.8,70.55,64.1,76905.51,2.03,2.96,68.438,68.39,72.672,63869.31,74816.72,93910.89
2020-12-15,69.21,73.37,68.52,67.91,58853.58,-1.43,-2.04,68.078,68.235,72.91,58554.78,76314.39,97849.41
2020-12-14,68.45,70.1,69.95,65.2,58425.55,2.1,3.1,68.474,68.663,73.334,61907.38,78899.5,102591.5
2020-12-11,65.5,69.5,67.85,64.1,66723.76,2.53,3.87,68.744,68.803,73.507,70858.01,85369.67,108237.64
2020-12-10,69.49,69.52,65.32,64.6,58438.17,-3.43,-4.99,68.586,69.117,73.174,76949.32,87350.41,112353.84
2020-12-09,71.5,72.58,68.75,68.63,50332.83,-1.75,-2.48,68.342,70.237,72.852,85764.13,92499.34,118735.82
2020-12-08,70.4,74.85,70.5,69.34,75616.58,-0.8,-1.12,68.392,71.422,72.215,94074.0,97995.22,127781.74
2020-12-07,68.0,72.2,71.3,63.89,103178.7,4.24,6.32,68.852,72.829,72.086,95891.62,101281.71,131977.3
2020-12-04,64.5,68.63,67.06,64.36,97180.32,2.96,4.62,68.862,74.039,71.923,99881.32,104556.54,138065.44
2020-12-03,67.7,67.7,64.1,63.75,102512.24,-4.9,-7.1,69.648,75.998,72.0,97751.5,112215.97,144787.8
2020-12-02,72.18,73.74,69.0,67.58,91882.18,-3.8,-5.22,72.132,76.954,71.845,99234.55,113005.06,154083.95
2020-12-01,69.94,73.35,72.8,69.0,84704.66,1.45,2.03,74.452,77.584,71.115,101916.43,119384.44,159913.06
2020-11-30,72.6,74.66,71.35,66.0,123127.21,0.36,0.51,76.806,78.004,70.345,106671.8,126283.5,168238.55
2020-11-27,75.1,77.3,70.99,70.68,86531.23,-5.53,-7.23,79.216,78.211,69.616,109231.76,131105.61,175678.89
2020-11-26,78.99,81.0,76.52,72.01,109927.48,-4.08,-5.06,82.348,77.23,68.446,126680.43,137357.26,188152.61
2020-11-25,83.9,87.84,80.6,80.0,105291.57,-3.97,-4.69,81.776,75.467,66.545,126775.56,144972.3,203133.69
2020-11-24,85.0,88.25,84.57,81.14,108481.49,1.17,1.4,80.716,73.007,65.805,136852.44,157568.27,208283.28
2020-11-23,84.5,86.0,83.4,79.0,135927.02,-3.25,-3.75,79.202,71.343,64.763,145895.21,162672.9,213827.82
2020-11-20,74.62,88.39,86.65,74.62,173774.59,12.99,17.64,77.206,69.807,63.666,152979.46,171574.33,218410.22
2020-11-19,74.86,77.89,73.66,69.7,110403.12,-1.64,-2.18,72.112,68.002,62.23,148034.09,177359.64,221199.95
2020-11-18,77.5,83.75,75.3,72.89,155676.0,-1.7,-2.21,69.158,66.736,61.468,163169.04,195162.84,228586.4
2020-11-17,76.0,80.2,77.0,72.5,153695.3,3.58,4.88,65.298,64.646,60.48,178284.1,200441.69,233794.29
2020-11-16,62.18,73.42,73.42,62.18,171348.27,12.24,20.01,63.484,62.685,59.209,179450.59,210193.6,239955.75
2020-11-13,58.08,63.88,61.18,55.5,149047.77,2.29,3.89,62.408,61.02,58.025,190169.21,220252.18,245673.04
2020-11-12,56.0,61.66,58.89,55.04,186077.88,2.89,5.16,63.892,59.662,57.738,206685.19,238947.95,254457.16
2020-11-11,65.8,65.91,56.0,55.7,231251.27,-11.93,-17.56,64.314,57.623,57.623,227156.63,261295.08,261295.08
2020-11-10,68.0,70.7,67.93,65.11,159527.78,-0.11,-0.16,63.994,57.803,57.803,222599.27,264633.29,264633.29
2020-11-09,70.5,71.68,68.04,63.5,224941.34,-0.56,-0.82,61.886,56.538,56.538,240936.61,277771.47,277771.47
2020-11-06,59.8,68.6,68.6,59.48,231627.69,7.6,12.46,59.632,54.894,54.894,250335.15,285318.64,285318.64
