ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,office,employees
688166.SH,SSE,袁建栋,袁建栋,王征野,41000.0,20011026,江苏,苏州市,www.bright-gene.com,IR@bright-gene.com,江苏省苏州市工业园区星湖街218号纳米科技园C25-C28栋,614
688518.SH,SSE,韩金龙,韩金龙,谢强,29920.0,20050922,广东,深圳市,www.uwlaser.com,ir@uwlaser.com,广东省深圳市南山区桃源街道福光社区留仙大道3370号南山智园崇文园区2号楼1203,1523
600968.SH,SSE,朱磊,李新仲,黄振鹰,1016510.4199,20050222,北京,北京市,cenertech.cnooc.com.cn,sh_cenertech@cnooc.com.cn,北京市东城区东直门外小街6号,15266
601199.SH,SSE,华锋,华锋,宋立人,93521.0292,20030715,江苏,无锡市,www.jsjnsw.com,master@jsjnsw.com;jnswcmx@163.com,江苏省江阴市滨江扬子江路66号,974
603786.SH,SSE,柯桂华,柯桂华,裴振东,40010.0,20030912,上海,上海市,www.keboda.com,keboda@keboda.com,中国(上海)自由贸易试验区祖冲之路2388号1-2幢,1992
601599.SH,SSE,蒋国兴,缪进义,邹国栋,89272.4964,20021213,江苏,苏州市,www.lugangwool.com,info@lugangwool.com,江苏省张家港市塘桥镇鹿苑工业区,4077
603998.SH,SSE,张庆华,肖汉卿,肖汉卿,42942.972,19971013,湖南,长沙市,www.fangsheng.com.cn,Fs88997135@126.com;xiaohanqing@fangsheng.com.cn;603998@fangsheng.com.cn,湖南省长沙市国家高新技术产业开发区嘉运路299号,2457
688023.SH,SSE,范渊,范渊,楼晶,7407.4075,20070515,浙江,杭州市,www.dbappsecurity.com.cn,ahxx@dbappsecurity.com.cn,浙江省杭州市滨江区西兴街道联慧街188号,1799
603368.SH,SSE,朱朝阳,朱朝阳,申文捷,36266.2706,19811223,广西,柳州市,www.lzyy.cn,lygf@lzyy.cn,广西壮族自治区柳州市官塘大道68号,4215
603701.SH,SSE,秦迅阳,施旻霞,朱国强,26269.2612,20000131,浙江,湖州市,www.dehong.com.cn,investor@dehong.com.cn;zgqiang@dehong.com.cn,浙江省湖州市吴兴区南太湖大道1888号,413
601615.SH,SSE,张传卫,张传卫,刘建军,187466.9336,20060602,广东,中山市,www.mywind.com.cn,liujianjun@mywind.com.cn;jessicazheng@mywind.com.cn;myse@mywind.com.cn,广东省中山市火炬开发区火炬路22号,7869
603157.SH,SSE,段学锋,张莹,段学锋,54767.1642,20010314,新疆,乌鲁木齐市,www.lachapelle.cn,ir@lachapelle.cn,上海市闵行区莲花南路2700弄50号4号楼12楼,15354
603167.SH,SSE,孙厚昌,于新建,宁武,47280.6603,19981015,山东,烟台市,www.bohailundu.cn,zqb@bhferry.com,山东省烟台市芝罘区环海路2号,1846
688589.SH,SSE,贺臻,Liu Kun,吴颖,10000.0,20020812,广东,深圳市,www.leaguerme.com,zhengquanbu@leaguerme.com,广东省深圳市南山区西丽街道高新技术产业园清华信息港科研楼11楼1101,310
603283.SH,SSE,孙丰,曾慧,刘言维,17605.8917,20070619,江苏,苏州市,www.secote.com,zqb@secote.com,江苏省苏州市吴中经济开发区东吴南路4号,1971
688009.SH,SSE,周志亮,徐宗祥,邱巍,1058981.9,20101229,北京,北京市,www.crsc.cn,ir@crsc.cn,北京市丰台区汽车博物馆南路1号院中国通号大厦,20175
603118.SH,SSE,汪大维,唐佛南,贺依朦,77573.3332,19981124,广东,深圳市,www.twsz.com,investor@twsz.com;heyimeng@twsz.com;liyan@twsz.com,"广东省深圳市坪山区坑梓街道丹梓北路2号,广东省深圳市南山区南山街道南海大道2239号新能源大厦A座",7764
603000.SH,SSE,叶蓁蓁,叶蓁蓁,李奇,110569.1056,20050206,北京,北京市,www.people.cn,ir@people.cn,北京市朝阳区金台西路2号,3265
600909.SH,SSE,章宏韬,杨爱民,汲杨,362103.8832,20010108,安徽,合肥市,www.hazq.com,bgs@hazq.com;yuqi@hazq.com;jiyang@hazq.com,安徽省合肥市政务文化新区天鹅湖路198号财智中心29楼,2825
601881.SH,SSE,陈共炎,陈亮,吴承明,1013725.8757,20070126,北京,北京市,www.chinastock.com.cn,zgyh@chinastock.com.cn;yhgf@chinastock.com.cn;wuchengming@chinastock.com.cn,北京市西城区金融大街35号国际企业大厦C座2-6层,11127
601515.SH,SSE,黄晓佳,王培玉,刘伟,133440.5921,19831230,广东,汕头市,www.dfp.com.cn,zqb@dfp.com.cn,"广东省汕头市潮汕路金园工业城北郊工业区,4A2-2片区,2M4片区,13-02片区A-F座",3347
603883.SH,SSE,谢子龙,王黎,冯诗倪,40873.2093,20051201,湖南,长沙市,www.lbxdrugs.com,ir@lbxdrugs.com,湖南省长沙市开福区青竹湖路808号,23109
603618.SH,SSE,华建飞,倪益剑,杨烈生,69103.8124,20020417,浙江,杭州市,www.hzcables.com,stock@hzcables.com,浙江省杭州市富阳区东洲街道永通路18号,1648
603959.SH,SSE,王海荣,肖立明,李良友,49029.8992,19921111,湖南,岳阳市,www.blest.com.cn,zqb@blest.com.cn,湖南省岳阳市岳阳楼区洞庭大道1号,663
601827.SH,SSE,雷钦平,王小军,阳正文,167826.8,20091204,重庆,重庆市,www.cseg.cn,zqb@cseg.cn,重庆市大渡口区建桥工业园建桥大道3号,2395
601113.SH,SSE,丁军民,丁晨轩,张益惠,114148.1073,20020923,浙江,金华市,www.hdnylon.com,zq@hdnylon.com,浙江省义乌市北苑街道雪峰西路751号,4769
688358.SH,SSE,莫善珏,莫若理,周峰,8000.0,19960130,江苏,无锡市,www.chison.com,info@chison.com.cn,江苏省无锡市新吴区新辉环路9号,606
688030.SH,SSE,罗东平,罗东平,郑丹,18022.3454,20110720,江苏,苏州市,www.hillstonenet.com.cn,ir@hillstonenet.com,江苏省苏州市苏州高新区景润路181号,1085
603212.SH,SSE,吴小平,吴小平,陈小英,40001.0,20081104,江苏,苏州市,www.cybrid.com.cn,sz-cybrid@cybrid.net.cn,江苏省苏州市吴江经济技术开发区叶港路369号,612
688093.SH,SSE,顾正青,顾正青,高君,17200.0,20100414,江苏,苏州市,www.szshihua.com.cn,zhengquan@szshihua.com.cn,江苏省苏州市吴江经济技术开发区大光路168号,257
603183.SH,SSE,吴小翔,吴小翔,钱晴芳,29828.0075,19900328,江苏,苏州市,www.szjkjt.com,zqb@szjkjt.com,江苏省苏州市虎丘区滨河路1979号,1382
605123.SH,SSE,是玉丰,是玉丰,刘波,10800.0,20060629,江苏,无锡市,www.wuxipaike.com,xz@wuxipaike.com,江苏省无锡市滨湖区胡埭工业安置区北区联合路,405
603380.SH,SSE,钱新栋,顾华林,蒋艳,16000.0,20010531,江苏,苏州市,www.etron.cn,SD@etron.cn,江苏省苏州市相城经济技术开发区春兴路50号,1193
688013.SH,SSE,陈望宇,陈望东,张晓宇,8000.0,20030818,江苏,苏州市,www.touchstonesurgical.com,tsbs@touchstone.hk,江苏省苏州市工业园区东平街278号,168
601900.SH,SSE,谭君铁,叶河,雷鹤,89587.6566,20091228,广东,广州市,www.nfcb.com.cn,ir@nfcb.com.cn,广东省广州市越秀区水荫路11号2楼,5639
603602.SH,SSE,苏维锋,吴海涛,朱劲龙,20384.0,20061228,浙江,杭州市,www.freelynet.com,zqb@freelynet.com,浙江省杭州市滨江区阡陌路459号聚光中心B座24层,787
603915.SH,SSE,徐国忠,徐彬,陆一品,47254.74,20130321,江苏,常州市,www.guomaoreducer.com,contact@guomaoreducer.com,江苏省常州市武进高新技术产业开发区龙潜路98号,1839
603106.SH,SSE,江浩然,滕飞,王伟,40040.0,20040512,天津,天津市,www.cashwaytech.com,cashway@cashwaytech.com,天津市自贸试验区(空港经济区)西八道30号,2574
603083.SH,SSE,Gerald G Wong,Gerald G Wong,谢冲,25222.0566,20060314,上海,上海市,www.cigtech.com,investor@cigtech.com,上海市闵行区陈行公路2388号8幢5楼,1546
688266.SH,SSE,盛泽林,盛泽林,高青平,24000.0,20090318,江苏,苏州市,www.zelgen.com,zelgen01@zelgen.com,江苏省苏州市昆山市玉山镇晨丰路209号,304
603096.SH,SSE,陈明俊,陈明俊,李全兴,13588.5,20090813,天津,天津市,www.readinglife.com,main@readinglife.com,北京市西城区北三环中路6号3幢第10层(德胜园区),389
603005.SH,SSE,王蔚,王蔚,段佳国,32155.1237,20050610,江苏,苏州市,www.wlcsp.com,info@wlcsp.com,江苏省苏州市工业园区汀兰巷29号,881
603656.SH,SSE,许大红,许大红,黄慧丽,15313.66,20041210,安徽,合肥市,www.chinataiho.com,thgdzq@chinataiho.com;hhlzq@chinataiho.com;zttzq@chinataiho.com,安徽省合肥市经济技术开发区桃花工业园拓展区方兴大道与玉兰大道交口,1120
603727.SH,SSE,彭文成,彭文成,王新,23419.4252,20020815,天津,天津市,www.bomesc.com,securities@bomesc.com,天津市经济技术开发区第四大街14号,993
603838.SH,SSE,蔡镇城,蔡镇通,黄奕鹏,32001.6,19970829,广东,潮州市,www.sitong.net,sitong@sitong.net;hyp@sitong.net,广东省潮州市潮安区潮州火车站区南片B11-4-1地块,1415
603856.SH,SSE,倪奉尧,倪奉尧,寻金龙,25641.46,20080121,山东,济宁市,www.dhguanye.com,zqb@dhguanye.com,山东省曲阜市东宏路1号,1345
688221.SH,SSE,谢东,王昌进,王勇,35976.0,20130115,江苏,南京市,www.frontierbiotech.com,invest@frontierbiotech.com,江苏省南京市雨花台区玉盘西街4号绿地之窗C-3栋6层,251
603390.SH,SSE,陈丽娜,邢映彪,王培森,35168.6984,19940111,广东,广州市,www.tongda.cc,TDDQ@tongda.cc,广东省广州市黄埔区东区枝山路13号,1156
688026.SH,SSE,袁建华,Yuan Ye James,陈长溪,10000.0,20010411,广东,广州市,www.jetbiofil.com,jetzqb@jetbiofil.com,广东省广州市经济技术开发区永和经济区斗塘路1号,549
603288.SH,SSE,庞康,庞康,张欣,324044.3208,20000408,广东,佛山市,www.haitian-food.com,OBD@haday.cn,广东省佛山市文沙路16号,5554
603277.SH,SSE,周俊杰,朱文伟,鲁灵鹏,41005.5,20030410,浙江,杭州市,www.yinduchina.com,yd@yinduchina.com,浙江省杭州市余杭区星桥街道博旺街56号,1764
603258.SH,SSE,胡建平,胡建平,俞国燕,24402.6,20080901,浙江,杭州市,www.dianhun.cn,dianhun@dianhun.cn;dh@dianhun.cn,浙江省杭州市滨江区西兴街道滨安路435号,930
603228.SH,SSE,刘绍柏,刘绍柏,黄恬,85141.5894,19930309,广东,深圳市,www.kinwong.com,stock@kinwong.com,广东省深圳市南山区海德三道天利中央商务广场C座19层,11092
601018.SH,SSE,毛剑宏,宫黎明,蒋伟,1580741.737,20080331,浙江,宁波市,www.nbport.com.cn,ird@nbport.com.cn;jiangw@nbport.com.cn,浙江省宁波市鄞州区宁东路269号宁波环球航运广场,16779
601678.SH,SSE,姜森,姜森,于江,164413.5046,19980521,山东,滨州市,www.befar.com,befar@befar.com;board@befar.com,山东省滨州市黄河五路869号,3391
605066.SH,SSE,高天乐,高天乐,周光辉,40100.0,19991029,浙江,温州市,www.tengen.com,zhengquan@tengen.com.cn,浙江省温州市乐清市柳市镇苏吕工业区,3392
603926.SH,SSE,国宁,国宁,周莺,16021.2,20091126,浙江,杭州市,www.chinaclutch.com,mx@chinaclutch.com,浙江省杭州市余杭区临平街道兴国路398号,1757
688520.SH,SSE,谢良志,谢良志,唐黎明,43533.5714,20070423,北京,北京市,www.sinocelltech.com,ir@sinocelltech.com,北京市北京经济技术开发区科创七街31号院5号楼,871
603105.SH,SSE,张利忠,张利忠,张健,50000.0,20080709,浙江,嘉兴市,www.sunorensolar.com,xnkj@sunorensolar.com,浙江省嘉兴市海宁市皮都路9号,329
688233.SH,SSE,潘连胜,潘连胜,袁欣,16000.0,20130724,辽宁,锦州市,www.thinkon-cn.com,info@thinkon-cn.com,辽宁省锦州市太和区中信路46号甲,139
601929.SH,SSE,王胜杰,高雪菘,孙毅,311110.8713,20010509,吉林,长春市,www.jishimedia.com,maweidong@jishimedia.com;sunyi@jishimedia.com;liuxiaohui@jishimedia.com,吉林省长春市净月高新技术产业开发区和美路吉视传媒信息枢纽中心,7062
600998.SH,SSE,刘长云,刘义常,林新扬,187381.0877,19990309,湖北,武汉市,www.jztey.com,lxy1777@vip.sina.com;believen@jztey.com,湖北省武汉市汉阳区龙阳大道特8号,25796
601899.SH,SSE,陈景河,邹来昌,郑友诚,2537725.9946,20000906,福建,龙岩市,www.zjky.cn,dsh@zjky.cn;zheng_youcheng@zijinmining.com;zy@zijinmining.com,"福建省上杭县紫金大道1号,福建省厦门市思明区环岛东路1811号中航紫金广场B塔",19963
688529.SH,SSE,董德熙,董德熙,许洋,12800.0,20020904,辽宁,大连市,www.haosen.com.cn,hszq@haosen.com.cn,辽宁省大连市甘井子区营城子工业园区,1352
603327.SH,SSE,张景忠,胡俊强,黄卫,40100.0,20110426,四川,成都市,www.scfrkj.cn,zhengquanbu@scfrkj.cn,四川省成都市崇州市崇双大道二段518号,695
605338.SH,SSE,刘会平,刘会平,钱昌华,24800.0,20100708,上海,上海市,www.babifood.com,jituanban@zy1111.com,上海市松江区车墩镇茸江路785号,1314
603982.SH,SSE,潘龙泉,邓凌曲,刘志文,20153.24,20120319,江苏,南京市,www.chervonauto.com,ir@chervonauto.com,江苏省南京市江宁区秣陵街道将军大道159号(江宁开发区),1924
603810.SH,SSE,殷凤山,殷平,吴汉存,11623.36,19960912,江苏,盐城市,www.fengshangroup.com,fszq@fengshangroup.com,江苏省盐城市大丰区西康南路1号,1243
601990.SH,SSE,李剑锋,夏宏建,徐晓云,368636.1034,19901123,江苏,南京市,www.njzq.com.cn,office@njzq.com.cn;lfren@njzq.com.cn;xxy@njzq.com.cn,江苏省南京市建邺区江东中路389号,1868
600918.SH,SSE,李峰,毕玉国,张晖,696862.5756,20010515,山东,济南市,www.zts.com.cn,ztsdb@zts.com.cn,山东省济南市市中区经七路86号,7449
601162.SH,SSE,余磊,王琳晶,诸培宁,666596.728,20000329,湖北,武汉市,www.tfzq.com,dongban@tfzq.com,湖北省武汉市武昌区中南路99号保利广场A座37楼,3242
603922.SH,SSE,洪建沧,洪建沧,邹一飞,12800.0,20030923,江苏,苏州市,www.jinhs.com,gl3602@jinhs.com,江苏省苏州市张家港市经济开发区长兴路30号,1031
603155.SH,SSE,初亚军,初亚军,桑修申,15556.0,20091113,江苏,宿迁市,www.newasiaman.com,IR@newasiaman.com,江苏省宿迁市宿迁生态化工科技产业园经五路3号,355
688017.SH,SSE,左昱昱,左晶,张雨文,12041.67,20110113,江苏,苏州市,www.leaderdrive.com,info@leaderdrive.com,江苏省苏州市吴中区木渎镇木胥西路19号,554
603990.SH,SSE,翁康,翁康,胡绍安,16546.3488,20090814,江苏,苏州市,www.medicalsystem.com.cn,suzhoumedi001@medicalsystem.cn;shaoan.h@medicalsystem.cn,江苏省苏州市工业园区归家巷222号,596
