ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,office,employees
002551.SZ,SZSE,梁桂秋,梁桂秋,林立,82023.6788,19980313,广东,深圳市,www.glory-medical.com.cn,gen@glory-medical.com.cn,广东省深圳市龙岗区宝龙工业城宝龙五路2号尚荣科技工业园,1706.0
300197.SZ,SZSE,刘水,王曙光,杨锋源,235385.6995,20010807,广东,深圳市,www.sztechand.com,techand@sztechand.com;yangfengyuan@sztechand.com;huangmeifang@sztechand.com.cn,广东省深圳市福田区红荔西路8133号农科商务办公楼7楼,2854.0
002401.SZ,SZSE,蔡惠星,周群,戴静,30940.01,19930519,上海,上海市,tech.coscoshipping.com,ir.tech@coscoshipping.com;ma.chi@coscoshipping.com;dai.jing@coscoshipping.com,上海市浦东新区民生路600号,896.0
300136.SZ,SZSE,彭浩,彭浩,杨明辉,96286.8638,20060427,广东,深圳市,www.sz-sunway.com.cn,ir@sz-sunway.com;xin.lu@sz-sunway.com;Minghui.Yang@sz-sunway.com,"广东省深圳市宝安区沙井街道西环路1013号A,B栋",7244.0
002748.SZ,SZSE,张海清,张海清,章慧琳,24000.0,20031202,江西,景德镇市,www.chinaselon.com,ljl2198@163.com;zhling958@163.com;zongjingban8@163.com,江西省乐平市接渡镇(世龙公司3栋行政办公楼),1392.0
300193.SZ,SZSE,潘磊,潘磊,李锐,50690.131,20050912,广东,深圳市,www.jasic.com.cn,jasiczqb@jasic.com.cn,广东省深圳市南山区桃园路田厦国际中心A栋1606-1610,929.0
300036.SZ,SZSE,钟耳顺,宋关福,翟利辉,45243.524,19970618,北京,北京市,www.supermap.com.cn\www.supermap.com,public@supermap.com,北京市朝阳区酒仙桥北路甲10号电子城IT产业园107号楼六层,3497.0
300054.SZ,SZSE,朱双全,朱顺全,程涌,93302.2185,20000711,湖北,武汉市,www.dl-kg.com,hbdl@dl-kg.com;chengyong@dl-kg.com;huangyun@dl-kg.com,湖北省武汉市经济技术开发区东荆河路1号,2472.0
300094.SZ,SZSE,李忠,陈汉,张勇,91955.8815,20010308,广东,湛江市,www.guolian.cn,IR@guolian.cn;cyw@guolian.cn;zhangyong@guolian.cn,广东省湛江市吴川市黄坡镇(吴川)华昱产业转移工业园工业大道6号,5165.0
300063.SZ,SZSE,冯毅,冯毅,王晶,75020.195,20010102,广东,肇庆市,www.tloongroup.com,tljt@tlym.cn;8507810@tlym.cn,广东省肇庆市金渡工业园内,1774.0
