date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-11-24,0.76,0.82,0.82,0.76,205719.81,0.04,5.13,0.836,0.879,0.927,181543.44,117458.97,97511.02
2020-11-23,0.78,0.82,0.78,0.78,166306.34,-0.04,-4.88,0.844,0.893,0.937,146777.47,108109.49,94431.68
2020-11-20,0.82,0.82,0.82,0.82,56267.0,-0.04,-4.65,0.868,0.91,0.951,129196.21,102095.55,88190.67
2020-11-19,0.86,0.9,0.86,0.86,171601.0,-0.04,-4.44,0.894,0.925,0.963,126121.61,101961.75,88229.32
2020-11-18,0.82,0.9,0.9,0.82,307823.03,0.04,4.65,0.912,0.939,0.974,104594.21,94374.37,82413.03
2020-11-17,0.86,0.86,0.86,0.86,31890.0,-0.04,-4.44,0.922,0.945,0.984,53374.5,69159.11,71754.99
2020-11-16,0.9,0.91,0.9,0.9,78400.0,-0.05,-5.26,0.942,0.955,0.996,69441.5,74086.81,75880.15
2020-11-13,0.95,0.96,0.95,0.94,40894.0,0.0,0.0,0.952,0.96,1.004,74994.9,75483.01,74030.6
2020-11-12,0.95,0.96,0.95,0.94,63964.04,0.0,0.0,0.956,0.963,1.01,77801.9,76705.21,73504.4
2020-11-11,0.96,0.97,0.95,0.95,51724.44,-0.01,-1.04,0.966,0.968,1.015,84154.53,76336.09,72398.38
2020-11-10,0.94,0.99,0.96,0.94,112225.0,0.01,1.05,0.968,0.975,1.021,84943.72,77563.08,72118.45
2020-11-09,0.96,0.97,0.95,0.94,106167.0,-0.02,-2.06,0.968,0.98,1.026,78732.12,80753.88,68536.85
2020-11-06,0.99,1.0,0.97,0.97,54929.0,-0.03,-3.0,0.968,0.991,1.032,75971.12,74285.8,68435.08
2020-11-05,0.95,1.0,1.0,0.95,95727.19,0.04,4.17,0.97,1.0,1.037,75608.52,74496.9,68752.63
2020-11-04,0.95,0.96,0.96,0.93,55670.39,0.0,0.0,0.97,1.009,1.04,68517.65,70451.7,66344.16
2020-11-03,0.93,0.97,0.96,0.93,81167.01,0.01,1.05,0.982,1.022,1.045,70182.45,74350.88,66424.31
2020-11-02,0.95,0.99,0.95,0.93,92362.0,-0.03,-3.06,0.992,1.037,1.051,82775.64,77673.49,65469.7
2020-10-30,1.0,1.01,0.98,0.98,53116.0,-0.02,-2.0,1.014,1.048,1.057,72600.47,72578.19,62638.95
2020-10-29,1.0,1.01,1.0,0.98,60272.85,-0.02,-1.96,1.03,1.056,1.062,73385.27,70303.6,63471.2
2020-10-28,1.01,1.04,1.02,0.99,63994.37,0.01,0.99,1.048,1.061,1.066,72385.74,68460.67,62944.56
2020-10-27,1.04,1.04,1.01,1.01,144133.0,-0.05,-4.72,1.062,1.066,1.069,78519.31,66673.81,62660.09
2020-10-26,1.06,1.07,1.06,1.04,41486.15,0.0,0.0,1.082,1.071,1.073,72571.34,56319.81,59882.14
2020-10-23,1.09,1.09,1.06,1.06,57040.0,-0.03,-2.75,1.082,1.072,1.076,72555.91,62584.36,62491.39
2020-10-22,1.08,1.1,1.09,1.07,55275.2,0.0,0.0,1.082,1.073,1.078,67221.92,63008.36,62076.14
2020-10-21,1.12,1.12,1.09,1.07,94662.21,-0.02,-1.8,1.074,1.07,1.078,64535.6,62236.61,61450.43
2020-10-20,1.07,1.11,1.11,1.07,114393.16,0.05,4.72,1.07,1.068,1.079,54828.31,58497.75,59538.92
2020-10-19,1.05,1.07,1.06,1.05,41409.0,0.0,0.0,1.06,1.065,1.079,40068.28,53265.91,57937.16
2020-10-16,1.05,1.06,1.06,1.04,30370.01,0.01,0.95,1.062,1.066,1.081,52612.8,52699.71,59669.56
2020-10-15,1.06,1.07,1.05,1.03,41843.6,-0.02,-1.87,1.064,1.067,1.082,58794.8,56638.81,62770.36
2020-10-14,1.06,1.07,1.07,1.05,46125.78,0.01,0.94,1.066,1.07,1.085,59937.63,57428.45,70463.31
2020-10-13,1.06,1.07,1.06,1.05,40593.0,-0.01,-0.94,1.066,1.072,1.09,62167.18,58646.38,80395.05
2020-10-12,1.06,1.08,1.07,1.05,104131.6,0.0,0.0,1.07,1.075,1.094,66463.54,63444.48,82696.98
2020-10-09,1.05,1.07,1.07,1.04,61280.03,0.01,0.94,1.07,1.08,1.095,52786.63,62398.42,82063.95
2020-09-30,1.08,1.08,1.06,1.05,47557.75,-0.01,-0.94,1.07,1.082,1.094,54482.82,61143.91,84713.75
2020-09-29,1.08,1.09,1.07,1.07,57273.53,-0.01,-0.93,1.074,1.085,1.095,54919.27,60664.24,89020.75
2020-09-28,1.08,1.11,1.08,1.07,62074.81,0.01,0.94,1.078,1.089,1.095,55125.57,60580.09,93241.72
2020-09-25,1.07,1.08,1.07,1.06,35747.01,0.0,0.0,1.08,1.093,1.097,60425.41,62608.41,96550.56
2020-09-24,1.08,1.09,1.07,1.06,69761.0,-0.01,-0.93,1.09,1.096,1.098,72010.2,66639.41,105145.26
2020-09-23,1.08,1.11,1.08,1.07,49740.02,-0.01,-0.92,1.094,1.096,1.102,67805.01,68901.91,114379.96
2020-09-22,1.09,1.09,1.09,1.06,58305.0,0.0,0.0,1.096,1.099,1.102,66409.2,83498.17,118653.91
2020-09-21,1.11,1.12,1.09,1.09,88574.0,-0.03,-2.68,1.1,1.107,1.105,66034.6,102143.73,128541.89
2020-09-18,1.09,1.14,1.12,1.08,93671.0,0.03,2.75,1.106,1.112,1.111,64791.41,101949.49,130382.22
2020-09-17,1.09,1.11,1.09,1.07,48735.02,0.0,0.0,1.102,1.109,1.119,61268.61,101729.49,132145.57
2020-09-16,1.09,1.11,1.09,1.08,42761.0,-0.02,-1.8,1.098,1.106,1.13,69998.81,108283.59,137547.36
2020-09-15,1.1,1.13,1.11,1.08,56432.0,-0.01,-0.89,1.102,1.104,1.142,100587.13,117377.25,144903.74
2020-09-14,1.09,1.14,1.12,1.07,82358.02,0.02,1.82,1.114,1.101,1.15,138252.85,125903.35,147941.04
2020-09-11,1.07,1.11,1.1,1.05,76057.02,0.03,2.8,1.118,1.101,1.155,139107.57,130492.71,151492.39
2020-09-10,1.11,1.12,1.07,1.06,92386.0,-0.04,-3.6,1.116,1.1,1.157,142190.37,143651.11,154583.02
2020-09-09,1.11,1.15,1.11,1.11,195702.61,-0.06,-5.13,1.114,1.107,1.162,146568.37,159858.01,158222.07
2020-09-08,1.18,1.2,1.17,1.14,244760.61,0.03,2.63,1.106,1.105,1.162,134167.38,153809.65,151359.42
2020-09-07,1.14,1.14,1.14,1.13,86631.61,0.05,4.59,1.088,1.103,1.157,113553.85,154940.06,143116.94
2020-09-04,1.06,1.09,1.09,1.04,91471.0,0.03,2.83,1.084,1.11,1.153,121877.85,158814.95,143341.16
2020-09-03,1.07,1.07,1.06,1.04,114276.0,-0.01,-0.94,1.084,1.128,1.155,145111.85,162561.65,147221.39
