date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,4.06,4.14,4.09,4.04,25855.42,0.0,0.0,4.008,3.986,4.083,22364.97,23896.6,22829.84,0.35
2021-01-04,4.02,4.12,4.09,3.99,31163.54,0.08,2.0,3.968,3.989,4.096,21582.22,23524.32,22769.67,0.42
2020-12-31,3.95,4.05,4.01,3.94,21736.98,0.08,2.04,3.936,3.99,4.112,20074.11,22332.17,22393.19,0.29
2020-12-30,3.94,3.96,3.93,3.9,16432.59,0.01,0.26,3.922,4.004,4.135,22071.34,22118.75,23284.84,0.22
2020-12-29,3.89,3.96,3.92,3.89,16636.3,0.03,0.77,3.938,4.023,4.159,23324.28,22363.16,25319.91,0.22
2020-12-28,3.93,3.96,3.89,3.86,21941.68,-0.04,-1.02,3.964,4.045,4.18,25428.22,22986.39,25889.77,0.3
2020-12-25,3.94,3.95,3.93,3.87,23623.02,-0.01,-0.25,4.01,4.079,4.203,25466.42,23319.06,27158.78,0.32
2020-12-24,4.01,4.01,3.94,3.9,31723.12,-0.07,-1.75,4.044,4.101,4.225,24590.22,23085.54,27226.13,0.43
2020-12-23,4.06,4.08,4.01,3.99,22697.29,-0.04,-0.99,4.086,4.128,4.244,22166.15,22038.66,26918.27,0.31
2020-12-22,4.12,4.12,4.05,4.04,27156.01,-0.07,-1.7,4.108,4.15,4.262,21402.05,22448.35,27561.16,0.37
2020-12-21,4.1,4.16,4.12,4.07,22132.66,0.02,0.49,4.126,4.18,4.277,20544.56,21763.09,27220.51,0.3
2020-12-18,4.16,4.18,4.1,4.08,19242.01,-0.05,-1.21,4.148,4.202,4.29,21171.7,22015.02,27953.39,0.26
2020-12-17,4.12,4.15,4.15,4.06,19602.8,0.03,0.73,4.158,4.233,4.303,21580.86,22454.22,28767.54,0.26
2020-12-16,4.12,4.15,4.12,4.09,18876.75,-0.02,-0.48,4.17,4.265,4.312,21911.16,24450.94,29441.25,0.25
2020-12-15,4.18,4.22,4.14,4.1,22868.6,-0.09,-2.13,4.192,4.295,4.326,23494.66,28276.66,30464.84,0.31
2020-12-14,4.13,4.26,4.23,4.12,25268.32,0.08,1.93,4.234,4.315,4.337,22981.61,28793.14,31314.71,0.34
