date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,2.35,2.35,2.31,2.29,352540.69,-0.05,-2.12,2.368,2.368,2.326,469327.97,503610.66,318818.43,0.35
2021-01-04,2.38,2.39,2.36,2.31,405058.75,-0.03,-1.25,2.4,2.371,2.327,559681.01,489218.11,307585.4,0.41
2020-12-31,2.39,2.45,2.39,2.35,480391.59,0.0,0.0,2.406,2.369,2.326,673119.31,478392.16,294077.28,0.48
2020-12-30,2.37,2.47,2.39,2.35,577120.88,0.0,0.0,2.398,2.359,2.324,623364.38,443384.6,277847.95,0.58
2020-12-29,2.47,2.49,2.39,2.35,531527.94,-0.08,-3.24,2.394,2.346,2.323,610775.53,393474.37,256879.52,0.53
2020-12-28,2.38,2.52,2.47,2.37,804305.88,0.08,3.35,2.368,2.332,2.322,537893.34,346364.15,242693.13,0.8
2020-12-25,2.34,2.49,2.39,2.33,972250.25,0.04,1.7,2.342,2.31,2.317,418755.21,274576.63,216032.87,0.97
2020-12-24,2.36,2.39,2.35,2.32,231616.97,-0.02,-0.84,2.332,2.296,2.316,283665.01,190971.11,184248.16,0.23
2020-12-23,2.26,2.38,2.37,2.26,514176.62,0.11,4.87,2.32,2.29,2.319,263404.81,176878.42,205143.79,0.51
2020-12-22,2.33,2.34,2.26,2.26,167117.0,-0.08,-3.42,2.298,2.28,2.316,176173.21,140155.26,196790.0,0.17
2020-12-21,2.34,2.36,2.34,2.32,208615.22,0.0,0.0,2.296,2.284,2.318,154834.96,134026.2,197566.65,0.21
2020-12-18,2.29,2.37,2.34,2.29,296799.22,0.05,2.18,2.278,2.282,2.316,130398.06,125952.68,200746.06,0.3
2020-12-17,2.26,2.29,2.29,2.24,130316.01,0.03,1.33,2.26,2.282,2.312,98277.22,109762.41,193730.6,0.13
2020-12-16,2.25,2.27,2.26,2.23,78018.58,0.01,0.44,2.26,2.289,2.309,90352.03,112311.31,193056.05,0.08
2020-12-15,2.25,2.25,2.25,2.22,60425.79,0.0,0.0,2.262,2.299,2.308,104137.31,120284.67,203070.17,0.06
2020-12-14,2.25,2.26,2.25,2.21,86430.68,0.0,0.0,2.272,2.311,2.307,113217.44,139022.1,214458.15,0.09
2020-12-11,2.28,2.29,2.25,2.24,136195.05,-0.04,-1.75,2.286,2.323,2.308,121507.31,157489.1,224847.72,0.14
2020-12-10,2.27,2.29,2.29,2.26,90690.03,0.02,0.88,2.304,2.336,2.307,121247.6,177525.2,228333.91,0.09
2020-12-09,2.3,2.32,2.27,2.27,146945.0,-0.03,-1.3,2.318,2.347,2.306,134270.59,233409.16,231624.2,0.15
2020-12-08,2.31,2.32,2.3,2.29,105826.45,-0.02,-0.86,2.336,2.351,2.309,136432.04,253424.75,230087.31,0.11
2020-12-07,2.34,2.34,2.32,2.3,127880.0,-0.02,-0.85,2.35,2.351,2.31,164826.76,261107.1,230645.14,0.13
2020-12-04,2.36,2.36,2.34,2.32,134896.52,-0.02,-0.85,2.36,2.349,2.309,193470.9,275539.43,231448.77,0.13
2020-12-03,2.37,2.38,2.36,2.35,155805.0,0.0,0.0,2.368,2.341,2.305,233802.8,277698.78,229466.12,0.16
2020-12-02,2.37,2.38,2.36,2.35,157752.22,-0.01,-0.42,2.376,2.329,2.3,332547.72,273800.78,226748.89,0.16
2020-12-01,2.36,2.38,2.37,2.32,247800.08,0.0,0.0,2.366,2.316,2.293,370417.45,285855.67,221882.45,0.25
2020-11-30,2.38,2.4,2.37,2.35,271100.69,-0.01,-0.42,2.352,2.303,2.287,357387.44,289894.19,215354.44,0.27
2020-11-27,2.4,2.43,2.38,2.35,336556.03,-0.02,-0.83,2.338,2.293,2.28,357607.96,292206.33,205932.97,0.34
2020-11-26,2.3,2.47,2.4,2.29,649529.56,0.09,3.9,2.314,2.278,2.272,321594.76,279142.61,192836.92,0.65
2020-11-25,2.31,2.36,2.31,2.3,347100.91,0.01,0.43,2.282,2.265,2.266,215053.85,229839.25,163108.82,0.35
2020-11-24,2.3,2.31,2.3,2.29,182650.02,0.0,0.0,2.266,2.267,2.264,201293.89,206749.87,148644.51,0.18
2020-11-23,2.26,2.32,2.3,2.25,272203.28,0.04,1.77,2.254,2.268,2.262,222400.94,200183.18,142448.96,0.27
2020-11-20,2.25,2.26,2.26,2.23,156490.03,0.02,0.89,2.248,2.268,2.261,226804.69,187358.11,132193.85,0.16
2020-11-19,2.23,2.25,2.24,2.23,116825.0,0.01,0.45,2.242,2.269,2.262,236690.46,181233.46,126500.4,0.12
2020-11-18,2.24,2.27,2.23,2.23,278301.12,-0.01,-0.45,2.248,2.27,2.265,244624.66,179697.0,123689.49,0.28
2020-11-17,2.27,2.29,2.24,2.22,288185.25,-0.03,-1.32,2.268,2.27,2.269,212205.86,157909.22,115009.03,0.29
2020-11-16,2.24,2.31,2.27,2.22,294222.06,0.04,1.79,2.282,2.271,2.275,177965.43,140814.7,103960.22,0.29
2020-11-13,2.28,2.28,2.23,2.21,205918.86,-0.04,-1.76,2.288,2.266,2.279,147911.53,119659.62,95385.05,0.21
2020-11-12,2.32,2.34,2.27,2.26,156496.0,-0.06,-2.58,2.296,2.265,2.286,125776.46,106531.24,89850.83,0.16
2020-11-11,2.3,2.34,2.33,2.28,116207.12,0.02,0.87,2.292,2.266,2.289,114769.35,96378.4,87467.2,0.12
2020-11-10,2.31,2.33,2.31,2.3,116983.11,0.01,0.43,2.272,2.261,2.29,103612.59,90539.15,85445.0,0.12
2020-11-09,2.27,2.3,2.3,2.27,143952.55,0.03,1.32,2.26,2.256,2.292,103663.96,84714.74,82691.38,0.14
2020-11-06,2.26,2.27,2.27,2.24,95243.5,0.02,0.89,2.244,2.253,2.295,91407.71,77029.59,81208.28,0.1
2020-11-05,2.24,2.27,2.25,2.23,101460.45,0.02,0.9,2.234,2.255,2.297,87286.01,71767.34,79772.64,0.1
2020-11-04,2.25,2.26,2.23,2.22,60423.33,-0.02,-0.89,2.24,2.26,2.298,77987.44,67681.97,77832.37,0.06
2020-11-03,2.22,2.26,2.25,2.19,117239.97,0.03,1.35,2.25,2.268,2.301,77465.72,72108.84,77618.1,0.12
2020-11-02,2.23,2.24,2.22,2.19,82671.32,0.0,0.0,2.252,2.278,2.304,65765.52,67105.74,73894.85,0.08
2020-10-30,2.27,2.28,2.22,2.22,74635.0,-0.06,-2.63,2.262,2.292,2.307,62651.46,71110.47,72927.7,0.07
2020-10-29,2.26,2.28,2.28,2.25,54967.6,0.0,0.0,2.276,2.306,2.312,56248.66,73170.42,74185.85,0.05
2020-10-28,2.26,2.28,2.28,2.25,57814.7,0.02,0.89,2.28,2.312,2.316,57376.5,78556.01,73839.52,0.06
2020-10-27,2.26,2.28,2.26,2.25,58739.0,-0.01,-0.44,2.286,2.318,2.32,66751.96,80350.85,74930.23,0.06
2020-10-26,2.29,2.29,2.27,2.26,67101.0,-0.02,-0.87,2.304,2.327,2.327,68445.96,80668.02,75411.33,0.07
2020-10-23,2.31,2.31,2.29,2.28,42621.0,-0.01,-0.43,2.322,2.336,2.333,79569.49,85386.96,77575.77,0.04
2020-10-22,2.3,2.32,2.3,2.29,60606.79,-0.01,-0.43,2.336,2.338,2.338,90092.17,87777.94,79328.55,0.06
2020-10-21,2.33,2.34,2.31,2.29,104692.0,-0.04,-1.7,2.344,2.335,2.343,99735.51,87982.76,82700.65,0.1
2020-10-20,2.34,2.36,2.35,2.33,67209.02,-0.01,-0.42,2.35,2.334,2.346,93949.74,83127.36,81126.35,0.07
2020-10-19,2.35,2.38,2.36,2.35,122718.62,0.0,0.0,2.35,2.329,2.347,92890.08,80683.96,83200.79,0.12
2020-10-16,2.34,2.36,2.36,2.33,95234.43,0.02,0.85,2.35,2.322,2.348,91204.44,74744.93,84944.92,0.1
2020-10-15,2.35,2.36,2.34,2.34,108823.5,0.0,0.0,2.34,2.317,2.351,85463.7,75201.29,92472.02,0.11
2020-10-14,2.37,2.37,2.34,2.33,75763.12,-0.01,-0.43,2.326,2.319,2.359,76230.01,69123.03,105924.84,0.08
2020-10-13,2.35,2.36,2.35,2.34,61910.74,-0.01,-0.42,2.318,2.321,2.366,72304.98,69509.62,112023.37,0.06
2020-10-12,2.31,2.37,2.36,2.3,114290.41,0.05,2.17,2.308,2.326,2.369,68477.83,70154.65,114960.26,0.11
2020-10-09,2.28,2.32,2.31,2.28,66530.72,0.04,1.76,2.294,2.33,2.372,58285.42,69764.57,114533.08,0.07
2020-09-30,2.29,2.3,2.27,2.26,62655.05,-0.03,-1.3,2.294,2.337,2.378,64938.88,70879.16,118746.38,0.06
2020-09-29,2.3,2.32,2.3,2.29,56138.0,0.0,0.0,2.312,2.351,2.387,62016.05,77418.54,122729.97,0.06
2020-09-28,2.29,2.31,2.3,2.28,42774.97,0.01,0.44,2.324,2.358,2.394,66714.25,79125.34,129939.1,0.04
2020-09-25,2.31,2.32,2.29,2.28,63328.36,-0.02,-0.87,2.344,2.365,2.402,71831.46,85717.62,140343.95,0.06
2020-09-24,2.36,2.36,2.31,2.3,99798.01,-0.05,-2.12,2.366,2.374,2.413,81243.72,95144.91,146905.79,0.1
2020-09-23,2.37,2.38,2.36,2.35,48040.93,0.0,0.0,2.38,2.384,2.426,76819.45,109742.76,150717.45,0.05
2020-09-22,2.39,2.39,2.36,2.36,79629.0,-0.04,-1.67,2.39,2.399,2.435,92821.03,142726.64,159373.01,0.08
2020-09-21,2.41,2.41,2.4,2.39,68361.0,0.0,0.0,2.392,2.411,2.445,91536.43,154537.12,169092.31,0.07
2020-09-18,2.39,2.41,2.4,2.36,110389.64,0.02,0.84,2.386,2.411,2.454,99603.78,159765.88,184221.08,0.11
2020-09-17,2.39,2.41,2.38,2.36,77676.68,-0.03,-1.25,2.382,2.413,2.464,109046.09,159301.59,204121.14,0.08
2020-09-16,2.37,2.42,2.41,2.36,128048.84,0.04,1.69,2.388,2.419,2.477,142666.06,166613.59,256662.5,0.13
2020-09-15,2.37,2.38,2.37,2.35,73205.99,0.0,0.0,2.408,2.423,2.493,192632.25,168041.39,323538.79,0.07
2020-09-14,2.38,2.4,2.37,2.36,108697.76,-0.01,-0.42,2.43,2.43,2.499,217537.82,180752.87,329093.93,0.11
2020-09-11,2.4,2.4,2.38,2.35,157601.2,-0.03,-1.25,2.436,2.439,2.505,219927.97,194970.27,332795.94,0.16
2020-09-10,2.51,2.51,2.41,2.39,245776.52,-0.1,-3.98,2.444,2.452,2.508,209557.08,198666.67,331670.17,0.25
2020-09-09,2.45,2.55,2.51,2.44,377879.78,0.03,1.21,2.45,2.468,2.511,190561.12,191692.14,327422.65,0.38
2020-09-08,2.41,2.48,2.48,2.38,197733.83,0.08,3.33,2.438,2.47,2.507,143450.53,176019.39,316944.23,0.2
2020-09-07,2.44,2.46,2.4,2.4,120648.52,-0.02,-0.83,2.43,2.478,2.503,143967.91,183647.49,322656.83,0.12
2020-09-04,2.42,2.43,2.42,2.39,105746.77,-0.02,-0.82,2.442,2.497,2.505,170012.57,208676.28,328512.4,0.11
2020-09-03,2.46,2.49,2.44,2.43,150796.69,-0.01,-0.41,2.46,2.515,2.504,187776.26,248940.68,329804.83,0.15
2020-09-02,2.44,2.46,2.45,2.42,142326.86,0.01,0.41,2.486,2.534,2.503,192823.16,346711.4,328883.77,0.14
2020-09-01,2.46,2.47,2.44,2.41,200320.73,-0.02,-0.81,2.502,2.563,2.501,208588.24,479036.19,329023.43,0.2
2020-08-31,2.52,2.52,2.46,2.45,250871.81,-0.05,-1.99,2.526,2.568,2.501,223327.07,477434.99,330291.1,0.25
2020-08-28,2.52,2.52,2.51,2.47,194565.2,0.0,0.0,2.552,2.57,2.5,247340.0,470621.61,333097.92,0.19
2020-08-27,2.54,2.58,2.57,2.53,176031.19,0.04,1.58,2.57,2.564,2.494,310105.11,464673.68,334243.75,0.18
2020-08-26,2.57,2.58,2.53,2.53,221152.27,-0.03,-1.17,2.582,2.553,2.484,500599.64,463153.17,332930.66,0.22
2020-08-25,2.6,2.61,2.56,2.54,274014.88,-0.03,-1.16,2.624,2.543,2.475,749484.14,457869.06,328186.9,0.27
2020-08-24,2.62,2.65,2.59,2.57,370936.44,-0.01,-0.39,2.61,2.527,2.464,731542.92,461666.16,321572.75,0.37
2020-08-21,2.65,2.67,2.6,2.58,508390.75,-0.03,-1.14,2.588,2.513,2.451,693903.23,448348.51,311755.01,0.51
2020-08-20,2.7,2.77,2.63,2.62,1128503.88,-0.11,-4.01,2.558,2.493,2.44,619242.25,410668.97,304127.31,1.13
2020-08-19,2.49,2.74,2.74,2.47,1465574.75,0.25,10.04,2.524,2.471,2.431,425706.69,311056.13,283776.58,1.47
2020-08-18,2.49,2.52,2.49,2.47,184308.77,0.01,0.4,2.462,2.439,2.412,166253.99,179010.67,218346.95,0.18
2020-08-17,2.44,2.49,2.48,2.43,182738.0,0.03,1.22,2.444,2.433,2.405,191789.41,183147.21,218278.86,0.18
2020-08-14,2.46,2.46,2.45,2.41,135085.84,-0.01,-0.41,2.438,2.43,2.399,202793.8,195574.24,220276.79,0.14
2020-08-13,2.43,2.48,2.46,2.42,160826.11,0.03,1.24,2.428,2.424,2.389,202095.69,203813.82,224215.34,0.16
2020-08-12,2.41,2.43,2.43,2.38,168311.22,0.03,1.25,2.418,2.415,2.38,196405.57,202708.15,228955.38,0.17
2020-08-11,2.46,2.52,2.4,2.4,311985.88,-0.05,-2.04,2.416,2.407,2.376,191767.35,198504.73,231734.42,0.31
2020-08-10,2.39,2.46,2.45,2.38,237759.94,0.05,2.08,2.422,2.4,2.376,174505.0,181479.35,231615.48,0.24
2020-08-07,2.4,2.41,2.4,2.38,131595.3,-0.01,-0.41,2.422,2.389,2.375,188354.67,175161.51,241004.95,0.13
2020-08-06,2.42,2.43,2.41,2.38,132375.52,-0.01,-0.41,2.42,2.386,2.375,205531.94,197585.66,249773.5,0.13
